in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M1 | M4 | M4 | M4 | M4 | M0
M4 | M1 | M0 | M0 | M4 | M1
M1 | M0 | M0 | M4 | M4 | M4
M4 | M4 | M1 | M1 | M0 | M1
M0 | M0 | M0 | M1 | M1 | M4
M1 | M4 | M1 | M4 | M0 | M0
M1 | M0 | M1 | M4 | M1 | M4
M0 | M4 | M0 | M0 | M4 | M1
M1 | M4 | M0 | M1 | M0 | M0
M0 | M4 | M1 | M1 | M4 | M1
M4 | M0 | M1 | M1 | M4 | M4
M4 | M4 | M1 | M0 | M1 | M0
M4 | M0 | M0 | M1 | M0 | M4
M4 | M4 | M1 | M0 | M0 | M0
M0 | M4 | M4 | M4 | M1 | M4
M1 | M1 | M0 | M4 | M0 | M1
M1 | M0 | M4 | M0 | M1 | M0
M1 | M1 | M1 | M4 | M1 | M4
M1 | M4 | M0 | M4 | M1 | M0
M1 | M4 | M0 | M4 | M4 | M4
M1 | M4 | M4 | M1 | M0 | M0
M0 | M0 | M0 | M0 | M1 | M0
M4 | M0 | M0 | M4 | M4 | M0
M1 | M1 | M4 | M4 | M0 | M0
M1 | M4 | M4 | M0 | M0 | M0
M4 | M1 | M4 | M0 | M4 | M0
M0 | M1 | M0 | M4 | M4 | M4
M0 | M0 | M0 | M1 | M0 | M1
M0 | M4 | M0 | M1 | M0 | M0
M1 | M0 | M4 | M1 | M0 | M1
