in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M2 | M5 | M1 | M1 | M1 | M5
M1 | M5 | M2 | M5 | M5 | M5
M2 | M1 | M1 | M1 | M2 | M1
M1 | M2 | M2 | M5 | M2 | M2
M2 | M5 | M1 | M5 | M2 | M5
M2 | M1 | M5 | M2 | M2 | M5
M5 | M2 | M5 | M1 | M2 | M5
M2 | M1 | M5 | M5 | M2 | M5
M5 | M2 | M2 | M5 | M5 | M1
M1 | M2 | M2 | M5 | M1 | M2
M5 | M2 | M5 | M5 | M2 | M1
M1 | M2 | M5 | M1 | M5 | M1
M1 | M1 | M1 | M5 | M5 | M2
M5 | M2 | M5 | M1 | M1 | M2
M2 | M5 | M2 | M2 | M2 | M2
M5 | M2 | M1 | M1 | M2 | M5
M2 | M1 | M1 | M1 | M5 | M1
M2 | M5 | M5 | M1 | M2 | M2
M2 | M2 | M5 | M2 | M2 | M2
M5 | M1 | M1 | M5 | M2 | M1
M2 | M2 | M1 | M2 | M2 | M5
M5 | M5 | M5 | M1 | M2 | M1
M1 | M1 | M5 | M1 | M2 | M1
M5 | M5 | M2 | M1 | M5 | M1
M2 | M1 | M5 | M2 | M1 | M5
M1 | M5 | M1 | M1 | M1 | M2
M1 | M5 | M5 | M2 | M1 | M1
M1 | M1 | M1 | M5 | M1 | M5
M5 | M1 | M1 | M5 | M2 | M1
M5 | M1 | M2 | M2 | M5 | M2
