in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M4 | M0 | M3 | M0 | M3 | M4
M3 | M3 | M3 | M4 | M0 | M3
M0 | M4 | M4 | M0 | M3 | M0
M0 | M3 | M4 | M3 | M4 | M4
M3 | M4 | M4 | M4 | M0 | M0
M4 | M0 | M4 | M0 | M4 | M4
M4 | M4 | M0 | M3 | M4 | M0
M4 | M0 | M3 | M3 | M3 | M3
M0 | M3 | M3 | M3 | M4 | M4
M4 | M3 | M0 | M0 | M3 | M0
M0 | M4 | M3 | M0 | M0 | M3
M3 | M0 | M0 | M4 | M0 | M4
M3 | M4 | M4 | M4 | M3 | M3
M0 | M0 | M0 | M4 | M4 | M3
M4 | M0 | M3 | M0 | M0 | M3
M0 | M4 | M3 | M0 | M4 | M4
M4 | M3 | M0 | M4 | M4 | M4
M4 | M0 | M3 | M3 | M0 | M0
M0 | M0 | M3 | M0 | M0 | M3
M3 | M0 | M3 | M0 | M3 | M3
M4 | M0 | M0 | M4 | M3 | M3
M4 | M4 | M4 | M4 | M4 | M4
M0 | M4 | M3 | M0 | M3 | M4
M0 | M4 | M3 | M3 | M4 | M3
M4 | M3 | M0 | M4 | M3 | M3
M3 | M3 | M3 | M3 | M3 | M4
M4 | M4 | M3 | M3 | M0 | M0
M4 | M3 | M4 | M0 | M4 | M4
M3 | M0 | M3 | M3 | M4 | M3
M4 | M4 | M0 | M4 | M3 | M0
