in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
C5 | C4 | C4 | C4 | C4 | C5
C4 | C0 | C0 | C5 | C4 | C0
C0 | C5 | C5 | C4 | C4 | C4
C4 | C4 | C5 | C0 | C5 | C5
C0 | C5 | C5 | C5 | C0 | C4
C5 | C4 | C5 | C4 | C5 | C5
C5 | C5 | C0 | C4 | C5 | C4
C5 | C4 | C0 | C0 | C4 | C0
C0 | C4 | C0 | C0 | C5 | C5
C5 | C4 | C0 | C0 | C4 | C0
C4 | C5 | C0 | C0 | C4 | C4
C4 | C4 | C0 | C5 | C0 | C5
C4 | C5 | C5 | C5 | C0 | C4
C4 | C4 | C0 | C5 | C5 | C0
C5 | C4 | C4 | C4 | C0 | C4
C0 | C5 | C0 | C4 | C5 | C5
C5 | C0 | C4 | C5 | C5 | C5
C5 | C0 | C0 | C4 | C0 | C4
C0 | C4 | C0 | C4 | C0 | C0
C0 | C4 | C0 | C4 | C4 | C4
C5 | C4 | C4 | C5 | C0 | C0
C5 | C5 | C5 | C5 | C5 | C5
C4 | C5 | C0 | C4 | C4 | C5
C0 | C5 | C4 | C4 | C5 | C0
C5 | C4 | C4 | C5 | C0 | C0
C4 | C0 | C4 | C0 | C4 | C5
C5 | C5 | C0 | C4 | C4 | C4
C5 | C0 | C5 | C0 | C5 | C5
C0 | C4 | C0 | C0 | C5 | C0
C5 | C5 | C4 | C5 | C0 | C0
