in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
C4 | C2 | C1 | C1 | C1 | C2
C1 | C4 | C2 | C2 | C2 | C4
C4 | C1 | C1 | C1 | C2 | C1
C1 | C2 | C4 | C4 | C2 | C4
C2 | C2 | C1 | C4 | C4 | C2
C4 | C1 | C4 | C2 | C2 | C2
C4 | C2 | C4 | C1 | C4 | C2
C2 | C1 | C2 | C2 | C2 | C4
C4 | C2 | C2 | C4 | C2 | C1
C1 | C2 | C4 | C4 | C1 | C4
C2 | C2 | C4 | C4 | C2 | C1
C1 | C2 | C4 | C1 | C4 | C1
C1 | C1 | C1 | C4 | C2 | C2
C2 | C2 | C4 | C1 | C1 | C2
C2 | C2 | C2 | C2 | C4 | C2
C4 | C4 | C1 | C1 | C2 | C4
C4 | C1 | C1 | C1 | C4 | C1
C4 | C4 | C4 | C1 | C4 | C2
C4 | C2 | C2 | C2 | C4 | C2
C4 | C1 | C1 | C2 | C2 | C1
C4 | C2 | C1 | C4 | C2 | C2
C2 | C2 | C2 | C1 | C4 | C1
C1 | C1 | C2 | C1 | C2 | C1
C4 | C4 | C2 | C1 | C2 | C1
C4 | C1 | C2 | C2 | C1 | C2
C1 | C4 | C1 | C1 | C1 | C2
C1 | C4 | C2 | C2 | C1 | C1
C1 | C1 | C1 | C4 | C1 | C4
C2 | C1 | C1 | C4 | C2 | C1
C4 | C1 | C2 | C4 | C2 | C4
