in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
C0 | C1 | C0 | C0 | C0 | C1
C0 | C1 | C3 | C1 | C1 | C1
C3 | C0 | C0 | C3 | C0 | C0
C0 | C0 | C0 | C1 | C3 | C0
C3 | C1 | C0 | C1 | C3 | C1
C0 | C3 | C1 | C3 | C3 | C1
C1 | C3 | C1 | C0 | C0 | C1
C3 | C0 | C1 | C1 | C0 | C1
C1 | C0 | C3 | C1 | C1 | C3
C0 | C0 | C3 | C1 | C0 | C3
C1 | C3 | C1 | C1 | C3 | C0
C0 | C3 | C1 | C3 | C1 | C0
C0 | C0 | C0 | C1 | C1 | C0
C1 | C3 | C1 | C3 | C3 | C3
C3 | C1 | C0 | C3 | C3 | C0
C1 | C0 | C3 | C0 | C3 | C1
C0 | C3 | C3 | C0 | C1 | C0
C0 | C1 | C1 | C0 | C3 | C3
C3 | C3 | C1 | C3 | C3 | C3
C1 | C0 | C3 | C1 | C0 | C0
C0 | C3 | C3 | C0 | C3 | C1
C1 | C1 | C1 | C3 | C0 | C0
C0 | C3 | C1 | C3 | C0 | C0
C1 | C1 | C0 | C0 | C1 | C3
C0 | C0 | C1 | C3 | C3 | C1
C0 | C1 | C0 | C3 | C0 | C3
C0 | C1 | C1 | C0 | C0 | C3
C0 | C3 | C3 | C1 | C0 | C1
C1 | C3 | C3 | C1 | C3 | C3
C1 | C0 | C3 | C0 | C1 | C3
