in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M0 | M2 | M0 | M2 | M0 | M2
M0 | M0 | M5 | M2 | M2 | M0
M5 | M2 | M2 | M5 | M0 | M2
M2 | M0 | M0 | M0 | M5 | M0
M5 | M2 | M2 | M0 | M5 | M2
M0 | M5 | M0 | M5 | M5 | M2
M0 | M5 | M2 | M0 | M0 | M2
M5 | M2 | M2 | M2 | M0 | M0
M2 | M0 | M5 | M0 | M2 | M5
M2 | M0 | M5 | M2 | M0 | M5
M2 | M5 | M0 | M2 | M5 | M0
M0 | M5 | M2 | M5 | M2 | M2
M0 | M2 | M2 | M0 | M2 | M0
M2 | M5 | M2 | M5 | M5 | M5
M5 | M2 | M0 | M5 | M5 | M0
M2 | M0 | M5 | M2 | M5 | M0
M0 | M5 | M5 | M2 | M0 | M2
M0 | M2 | M0 | M0 | M5 | M5
M5 | M5 | M2 | M5 | M5 | M5
M0 | M2 | M5 | M2 | M0 | M0
M0 | M5 | M5 | M0 | M5 | M2
M2 | M2 | M2 | M5 | M0 | M2
M2 | M5 | M2 | M5 | M0 | M2
M2 | M0 | M0 | M0 | M2 | M5
M0 | M0 | M2 | M5 | M5 | M2
M0 | M0 | M0 | M5 | M0 | M5
M2 | M0 | M2 | M0 | M2 | M5
M2 | M5 | M5 | M2 | M2 | M0
M2 | M5 | M5 | M0 | M5 | M5
M0 | M2 | M5 | M0 | M2 | M5
