in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
C2 | C0 | C5 | C2 | C5 | C0
C5 | C5 | C5 | C0 | C0 | C5
C2 | C2 | C2 | C0 | C5 | C2
C2 | C5 | C2 | C5 | C0 | C2
C5 | C0 | C2 | C0 | C2 | C0
C2 | C0 | C0 | C0 | C0 | C0
C0 | C0 | C2 | C5 | C2 | C0
C0 | C2 | C5 | C5 | C5 | C5
C2 | C5 | C5 | C5 | C0 | C0
C2 | C5 | C2 | C2 | C5 | C2
C0 | C0 | C5 | C2 | C0 | C5
C5 | C0 | C2 | C0 | C2 | C2
C5 | C2 | C2 | C0 | C5 | C5
C0 | C0 | C2 | C0 | C0 | C5
C0 | C0 | C5 | C0 | C2 | C5
C2 | C2 | C5 | C2 | C0 | C0
C2 | C5 | C0 | C2 | C0 | C2
C2 | C2 | C5 | C5 | C2 | C0
C2 | C0 | C5 | C0 | C2 | C5
C5 | C2 | C5 | C0 | C5 | C5
C2 | C0 | C0 | C2 | C5 | C5
C0 | C0 | C0 | C0 | C2 | C2
C2 | C0 | C5 | C0 | C5 | C2
C2 | C0 | C5 | C5 | C0 | C5
C2 | C5 | C0 | C0 | C5 | C5
C5 | C5 | C5 | C5 | C5 | C0
C2 | C0 | C5 | C5 | C2 | C0
C2 | C5 | C0 | C2 | C2 | C0
C5 | C0 | C5 | C5 | C0 | C5
C0 | C2 | C0 | C2 | C5 | C2
