in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M3 | M1 | M2 | M3 | M2 | M1
M2 | M2 | M1 | M1 | M1 | M2
M3 | M3 | M3 | M2 | M1 | M3
M3 | M1 | M3 | M2 | M1 | M3
M1 | M1 | M3 | M2 | M3 | M1
M3 | M2 | M2 | M1 | M1 | M1
M2 | M1 | M3 | M2 | M3 | M1
M1 | M3 | M1 | M1 | M1 | M2
M3 | M1 | M1 | M2 | M1 | M2
M3 | M1 | M3 | M3 | M2 | M3
M1 | M1 | M2 | M3 | M1 | M2
M2 | M1 | M3 | M2 | M3 | M3
M2 | M3 | M3 | M2 | M1 | M1
M1 | M1 | M3 | M2 | M2 | M1
M1 | M1 | M1 | M1 | M3 | M1
M3 | M3 | M2 | M3 | M1 | M2
M3 | M2 | M2 | M3 | M2 | M3
M3 | M3 | M2 | M2 | M3 | M1
M3 | M1 | M1 | M1 | M3 | M1
M2 | M3 | M2 | M1 | M1 | M2
M3 | M1 | M2 | M3 | M1 | M1
M1 | M1 | M1 | M2 | M3 | M3
M3 | M2 | M1 | M2 | M1 | M3
M3 | M2 | M1 | M2 | M1 | M2
M3 | M2 | M1 | M1 | M2 | M1
M2 | M2 | M2 | M2 | M2 | M1
M3 | M2 | M1 | M1 | M3 | M2
M3 | M2 | M2 | M3 | M3 | M2
M1 | M2 | M2 | M2 | M1 | M2
M2 | M3 | M1 | M3 | M1 | M3
